metric,value
total_records,333
records_by_source.vietnamnet_thoisux,264
records_by_source.dantri_thoisux,20
records_by_source.vnexpress_giaothong,16
records_by_source.tuoitre_giaothong,15
records_by_source.thanhnien_thoisux,8
records_by_source.baoxaydung_atgt,4
records_by_source.baoxaydung_giaothong,4
records_by_source.baoxaydung_gt24h,2
records_by_provider.rss,323
records_by_provider.html_listing,10
records_by_source_domain.vietnamnet.vn,264
records_by_source_domain.dantri.com.vn,20
records_by_source_domain.vnexpress.net,16
records_by_source_domain.tuoitre.vn,15
records_by_source_domain.baoxaydung.vn,10
records_by_source_domain.thanhnien.vn,8
missing_title_rate,0.0000
missing_summary_rate,0.0300
missing_summary_text_rate,0.0300
missing_published_at_rate_before_fallback,0.0300
missing_published_at_rate_after_fallback,0.0000
city_hint_raw_coverage,0.8318
category_hint_raw_coverage,0.9580
duplicate_external_id_count,159
duplicate_canonical_url_count,163
duplicate_content_hash_count,163
summary_html_rate,0.9700
image_extraction_rate,0.9700
raw_payload_json_coverage,1.0000
url_hash_coverage,1.0000
content_hash_coverage,1.0000
exact_duplicate_records,163
data_quality_flags_distribution.category_hint_missing,14
data_quality_flags_distribution.city_hint_missing,56
data_quality_flags_distribution.exact_duplicate,163
data_quality_flags_distribution.html_listing_partial,10
data_quality_flags_distribution.image_extracted,323
data_quality_flags_distribution.missing_published_at,10
data_quality_flags_distribution.missing_summary,10
data_quality_flags_distribution.possible_unrelated,9
data_quality_flags_distribution.published_at_from_url,10
data_quality_flags_distribution.summary_contains_html,323
data_quality_flags_distribution.summary_text_empty,10
published_at_source_distribution.rss,323
published_at_source_distribution.url_timestamp,10
published_at_parse_status_distribution.ok,323
published_at_parse_status_distribution.parsed_from_url,10
top_sources_by_record_count.1.vietnamnet_thoisux,264
top_sources_by_record_count.2.dantri_thoisux,20
top_sources_by_record_count.3.vnexpress_giaothong,16
top_sources_by_record_count.4.tuoitre_giaothong,15
top_sources_by_record_count.5.thanhnien_thoisux,8
top_sources_by_record_count.6.baoxaydung_atgt,4
top_sources_by_record_count.7.baoxaydung_giaothong,4
top_sources_by_record_count.8.baoxaydung_gt24h,2
source_imbalance_notes,dominant_source=vietnamnet_thoisux;share=0.7928;review_source_mix_before_modeling
