city,segment_id,time_bucket,timestamp,currentSpeed,freeFlowSpeed,jamFactor,confidence,lat,lon,date,hour_of_day,day_of_week,day_of_month,is_weekend,is_peak_hour,congestion_ratio,speed_lag_1,congestion_lag_1,speed_lag_2,congestion_lag_2,speed_lag_3,congestion_lag_3,speed_lag_4,congestion_lag_4,speed_lag_5,congestion_lag_5,speed_lag_6,congestion_lag_6,speed_lag_7,congestion_lag_7,speed_lag_8,congestion_lag_8,speed_lag_9,congestion_lag_9,speed_lag_10,congestion_lag_10,speed_lag_11,congestion_lag_11,speed_lag_12,congestion_lag_12,speed_trend_1,speed_trend_2,speed_acceleration,speed_rolling_avg_15m,speed_rolling_avg_30m,speed_rolling_avg_60m,congestion_rolling_avg_15m,congestion_rolling_avg_30m,congestion_rolling_avg_60m,speed_volatility_15m,speed_volatility_30m,valid_history_30m,valid_history_60m,weather_temperature,weather_humidity,weather_rain_1h,weather_wind_speed,has_rain,weather_severity,has_accident,has_any_event,news_event_count_1h,news_event_count_3h,news_event_count_6h,accident_count_1h,max_event_severity_1h,max_event_severity_6h,avg_traffic_relevance_score_6h,has_recent_accident,target_speed,split
hanoi,HN_001,2026-05-14 12:25:00,2026-05-14 12:25:54.340526,28.0,36.0,2.22,1.0,20.9956,105.822,2026-05-14,12,3,14,0,0,0.2222222222222222,26.0,0.2777777777777778,24.0,0.33333333333333337,25.0,0.3055555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,3.0,25.0,0.0,0.0,0.3055555555555556,0.0,0.0,1.0,0.0,0,0,34.95,48.0,0.0,1.95,0,0,0,0,0,0,0,0,0,0,0.0,0,27.0,train
hanoi,HN_002,2026-05-14 12:25:00,2026-05-14 12:25:54.340526,27.0,37.0,2.7,1.0,20.9842,105.8412,2026-05-14,12,3,14,0,0,0.2702702702702703,28.0,0.2222222222222222,27.0,0.25,24.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,-2.0,26.333333333333332,0.0,0.0,0.26851851851851855,0.0,0.0,2.081665999466133,0.0,0,0,34.95,48.0,0.0,1.95,0,0,0,0,0,0,0,0,0,0,0.0,0,25.0,train
hanoi,HN_005,2026-05-14 12:25:00,2026-05-14 12:25:54.340526,25.0,34.0,2.65,1.0,20.9901,105.833,2026-05-14,12,3,14,0,0,0.2647058823529411,25.0,0.2857142857142857,23.0,0.34285714285714286,22.0,0.37142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,23.333333333333332,0.0,0.0,0.3333333333333333,0.0,0.0,1.5275252316519465,0.0,0,0,34.95,48.0,0.0,1.95,0,0,0,0,0,0,0,0,0,0,0.0,0,25.0,train
hanoi,HN_004,2026-05-14 12:25:00,2026-05-14 12:25:54.340526,24.0,32.0,2.5,1.0,21.0128,105.8156,2026-05-14,12,3,14,0,0,0.25,24.0,0.25,23.0,0.28125,21.0,0.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-1.0,22.666666666666668,0.0,0.0,0.2916666666666667,0.0,0.0,1.5275252316519465,0.0,0,0,34.95,48.0,0.0,1.95,0,0,0,0,0,0,0,0,0,0,0.0,0,23.0,train
hanoi,HN_003,2026-05-14 12:25:00,2026-05-14 12:25:54.340526,28.0,37.0,2.43,1.0,21.0285,105.7934,2026-05-14,12,3,14,0,0,0.2432432432432432,27.0,0.2702702702702703,25.0,0.32432432432432434,26.0,0.29729729729729726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,3.0,26.0,0.0,0.0,0.2972972972972973,0.0,0.0,1.0,0.0,0,0,35.1,47.0,0.0,1.42,0,0,0,0,0,0,0,0,0,0,0.0,0,29.0,train
hanoi,HN_005,2026-05-14 12:30:00,2026-05-14 12:30:59.080435,25.0,33.0,2.42,1.0,20.9901,105.833,2026-05-14,12,3,14,0,0,0.24242424242424243,25.0,0.2647058823529411,25.0,0.2857142857142857,23.0,0.34285714285714286,22.0,0.37142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,24.333333333333332,0.0,0.0,0.2977591036414566,0.0,0.0,1.1547005383792515,0.0,0,0,35.58,44.0,0.0,2.73,0,0,0,0,0,0,0,0,0,0,0.0,0,23.0,train
hanoi,HN_002,2026-05-14 12:30:00,2026-05-14 12:30:59.080435,27.0,36.0,2.5,1.0,20.9842,105.8412,2026-05-14,12,3,14,0,0,0.25,27.0,0.2702702702702703,28.0,0.2222222222222222,27.0,0.25,24.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-2.0,27.333333333333332,0.0,0.0,0.2474974974974975,0.0,0.0,0.5773502691896258,0.0,0,0,35.58,44.0,0.0,2.73,0,0,0,0,0,0,0,0,0,0,0.0,0,28.0,train
hanoi,HN_004,2026-05-14 12:30:00,2026-05-14 12:30:59.080435,32.0,32.0,0.0,1.0,21.0128,105.8156,2026-05-14,12,3,14,0,0,0.0,24.0,0.25,24.0,0.25,23.0,0.28125,21.0,0.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,23.666666666666668,0.0,0.0,0.2604166666666667,0.0,0.0,0.5773502691896258,0.0,0,0,35.58,44.0,0.0,2.73,0,0,0,0,0,0,0,0,0,0,0.0,0,22.0,train
hanoi,HN_001,2026-05-14 12:30:00,2026-05-14 12:30:59.080435,25.0,36.0,3.06,1.0,20.9956,105.822,2026-05-14,12,3,14,0,0,0.3055555555555556,28.0,0.2222222222222222,26.0,0.2777777777777778,24.0,0.33333333333333337,25.0,0.3055555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,26.0,0.0,0.0,0.2777777777777778,0.0,0.0,2.0,0.0,0,0,35.58,44.0,0.0,2.73,0,0,0,0,0,0,0,0,0,0,0.0,0,28.0,train
hanoi,HN_003,2026-05-14 12:30:00,2026-05-14 12:30:59.080435,27.0,37.0,2.7,1.0,21.0285,105.7934,2026-05-14,12,3,14,0,0,0.2702702702702703,28.0,0.2432432432432432,27.0,0.2702702702702703,25.0,0.32432432432432434,26.0,0.29729729729729726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-1.0,26.666666666666668,0.0,0.0,0.27927927927927926,0.0,0.0,1.5275252316519465,0.0,0,0,35.1,47.0,0.0,1.42,0,0,0,0,0,0,0,0,0,0,0.0,0,28.0,train
hanoi,HN_003,2026-05-14 12:35:00,2026-05-14 12:36:04.100187,28.0,37.0,2.43,1.0,21.0285,105.7934,2026-05-14,12,3,14,0,0,0.2432432432432432,27.0,0.2702702702702703,28.0,0.2432432432432432,27.0,0.2702702702702703,25.0,0.32432432432432434,26.0,0.29729729729729726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-2.0,27.333333333333332,0.0,0.0,0.26126126126126126,0.0,0.0,0.5773502691896258,0.0,0,0,35.1,47.0,0.0,1.42,0,0,0,0,0,0,0,0,0,0,0.0,0,29.0,train
hanoi,HN_004,2026-05-14 12:35:00,2026-05-14 12:36:04.100187,32.0,32.0,0.0,1.0,21.0128,105.8156,2026-05-14,12,3,14,0,0,0.0,32.0,0.0,24.0,0.25,24.0,0.25,23.0,0.28125,21.0,0.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,26.666666666666668,0.0,0.0,0.16666666666666666,0.0,0.0,4.618802153517007,0.0,0,0,35.58,44.0,0.0,2.73,0,0,0,0,0,0,0,0,0,0,0.0,0,26.0,train
hanoi,HN_005,2026-05-14 12:35:00,2026-05-14 12:36:04.100187,25.0,35.0,2.86,1.0,20.9901,105.833,2026-05-14,12,3,14,0,0,0.2857142857142857,25.0,0.24242424242424243,25.0,0.2647058823529411,25.0,0.2857142857142857,23.0,0.34285714285714286,22.0,0.37142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.2642814701638231,0.0,0.0,0.0,0.0,0,0,35.58,44.0,0.0,2.73,0,0,0,0,0,0,0,0,0,0,0.0,0,25.0,train
hanoi,HN_001,2026-05-14 12:35:00,2026-05-14 12:36:04.100187,28.0,36.0,2.22,1.0,20.9956,105.822,2026-05-14,12,3,14,0,0,0.2222222222222222,25.0,0.3055555555555556,28.0,0.2222222222222222,26.0,0.2777777777777778,24.0,0.33333333333333337,25.0,0.3055555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,2.0,-5.0,26.333333333333332,0.0,0.0,0.26851851851851855,0.0,0.0,1.5275252316519468,0.0,0,0,35.58,44.0,0.0,2.73,0,0,0,0,0,0,0,0,0,0,0.0,0,29.0,train
