iter	RMSE
0	7.54763831
1	7.320647577
2	7.101655182
3	6.890296657
4	6.682500227
5	6.480915806
6	6.29237807
7	6.114036698
8	5.941532509
9	5.777613538
10	5.617747495
11	5.461139619
12	5.309876987
13	5.168349992
14	5.031214059
15	4.900750912
16	4.776111552
17	4.657291644
18	4.543611653
19	4.432049516
20	4.323147014
21	4.22019211
22	4.124220303
23	4.024804546
24	3.932645314
25	3.84931158
26	3.762012139
27	3.682491252
28	3.608485415
29	3.532651427
30	3.459785888
31	3.393479706
32	3.329638376
33	3.266054889
34	3.204583578
35	3.145606646
36	3.08765491
37	3.034660367
38	2.985131419
39	2.934205921
40	2.888220445
41	2.84277354
42	2.800808325
43	2.760132598
44	2.721725873
45	2.687188062
46	2.648557563
47	2.610172007
48	2.580346071
49	2.549465085
50	2.518642708
51	2.491300874
52	2.46327348
53	2.441855623
54	2.415680793
55	2.38790723
56	2.363857228
57	2.340144562
58	2.31871221
59	2.29774468
60	2.278002774
61	2.255623957
62	2.236519676
63	2.21898992
64	2.203667438
65	2.187388052
66	2.171167766
67	2.153201399
68	2.134035946
69	2.119620498
70	2.105358238
71	2.092804375
72	2.081205093
73	2.067384941
74	2.055991056
75	2.044637853
76	2.031889367
77	2.023255511
78	2.013708625
79	2.006202717
80	1.999314517
81	1.989655124
82	1.980501529
83	1.971655695
84	1.96267277
85	1.953969333
86	1.945955827
87	1.937583814
88	1.929918738
89	1.924146552
90	1.918083871
91	1.91141348
92	1.903191472
93	1.897252119
94	1.893069376
95	1.889185609
96	1.883209223
97	1.878835913
98	1.87334278
99	1.865973783
100	1.861152947
101	1.8559737
102	1.85095518
103	1.84802423
104	1.843738826
105	1.838103243
106	1.835510762
107	1.831591044
108	1.826041137
109	1.821704993
110	1.819118878
111	1.816492388
112	1.814664502
113	1.811357888
114	1.806437162
115	1.802056093
116	1.799158195
117	1.796301036
118	1.794069865
119	1.7910764
120	1.786859456
121	1.783610966
122	1.780693219
123	1.779157494
124	1.775779644
125	1.772162904
126	1.768996591
127	1.766733973
128	1.76424728
129	1.762583141
130	1.761246035
131	1.759391365
132	1.756365186
133	1.754145367
134	1.752755869
135	1.751705205
136	1.748757919
137	1.746710028
138	1.745215773
139	1.743183663
140	1.742047483
141	1.739606157
142	1.737820052
143	1.736070069
144	1.733902175
145	1.73198479
146	1.731303121
147	1.729940027
148	1.728510001
149	1.727588976
150	1.725664592
151	1.724211475
152	1.72269095
153	1.721241367
154	1.719880628
155	1.71786574
156	1.716727918
157	1.715525688
158	1.713781202
159	1.712189504
160	1.710643039
161	1.709152957
162	1.708418243
163	1.706551805
164	1.704863437
165	1.703853728
166	1.702697296
167	1.701702028
168	1.700714157
169	1.699817898
170	1.697953373
171	1.697220053
172	1.696386086
173	1.695405356
174	1.69377676
175	1.69257464
176	1.691414354
177	1.690503533
178	1.689491556
179	1.688734951
180	1.687795571
181	1.686865755
182	1.686079849
183	1.685453081
184	1.684195006
185	1.683752571
186	1.68267736
187	1.681596296
188	1.680937207
189	1.680268619
190	1.679206723
191	1.678845761
192	1.677383838
193	1.676820745
194	1.676193184
195	1.675231798
196	1.674782497
197	1.674120033
198	1.67323809
199	1.672753275
200	1.672058536
201	1.671038484
202	1.669822926
203	1.668644503
204	1.668174228
205	1.667625613
206	1.667110263
207	1.666575437
208	1.665530961
209	1.66486303
210	1.664311119
211	1.663683388
212	1.663232471
213	1.66259367
214	1.6618403
215	1.661008894
216	1.660673251
217	1.65976007
218	1.659298282
219	1.659026983
220	1.657936542
221	1.65736613
222	1.656880909
223	1.656327297
224	1.655708824
225	1.655210136
226	1.654704378
227	1.65409344
228	1.653631791
229	1.653299921
230	1.652635154
231	1.651819571
232	1.651361023
233	1.651134584
234	1.650548433
235	1.649809103
236	1.649097703
237	1.648054967
238	1.647586048
239	1.646662174
240	1.645727342
241	1.645089903
242	1.644676837
243	1.644226176
244	1.643533635
245	1.642723256
246	1.641706003
247	1.641249011
248	1.640841011
249	1.640414894
250	1.639860642
251	1.639463425
252	1.638785564
253	1.638481965
254	1.637905744
255	1.637459204
256	1.63688752
257	1.636312551
258	1.635904651
259	1.635260012
260	1.63446993
261	1.633848571
262	1.633510616
263	1.633169562
264	1.632516842
265	1.631830183
266	1.631082114
267	1.630783828
268	1.630562808
269	1.630138421
270	1.629407813
271	1.628972131
272	1.628395493
273	1.62821942
274	1.627965904
275	1.627343795
276	1.626911425
277	1.62607199
278	1.62571717
279	1.625243526
280	1.624854697
281	1.624448791
282	1.624074637
283	1.623667203
284	1.623380057
285	1.623036112
286	1.622469834
287	1.622020282
288	1.621742819
289	1.621463363
290	1.62088816
291	1.620538243
292	1.620125058
293	1.619643874
294	1.619248392
295	1.618739436
296	1.618040975
297	1.617569482
298	1.61692462
299	1.616610597
300	1.616421616
301	1.615873935
302	1.61547536
303	1.61509525
304	1.614666848
305	1.61434202
306	1.613938747
307	1.613583078
308	1.612996736
309	1.61267272
310	1.612125095
311	1.611559442
312	1.611216896
313	1.610895713
314	1.610591273
315	1.610230307
316	1.609822436
317	1.609355564
318	1.609011483
319	1.608605964
320	1.608272768
321	1.608079432
322	1.607627729
323	1.607397391
324	1.606939546
325	1.606574668
326	1.606227848
327	1.605963591
328	1.605588612
329	1.605311154
330	1.604999054
331	1.604648414
332	1.60413962
333	1.60387364
334	1.603257929
335	1.602950059
336	1.602503236
337	1.602326417
338	1.601813452
339	1.601507959
340	1.601197517
341	1.600800466
342	1.600429164
343	1.600029176
344	1.599677189
345	1.59915508
346	1.598956319
347	1.598614317
348	1.598190556
349	1.597765824
350	1.597168628
351	1.596671066
352	1.596343032
353	1.595883497
354	1.595567474
355	1.595221466
356	1.594922387
357	1.59466021
358	1.594444423
359	1.593996616
360	1.593389267
361	1.593058259
362	1.592727159
363	1.592480756
364	1.592103538
365	1.591813973
366	1.591543847
367	1.591349251
368	1.591005073
369	1.590602354
370	1.590263348
371	1.589986289
372	1.589511604
373	1.589267493
374	1.589051649
375	1.588844225
376	1.588416481
377	1.587983101
378	1.587645476
379	1.587306378
380	1.587088545
381	1.586745786
382	1.586415774
383	1.586095114
384	1.585839083
385	1.585518414
386	1.585227368
387	1.584903285
388	1.584386682
389	1.584058805
390	1.583743487
391	1.583491069
392	1.583239116
393	1.582994196
394	1.582702664
395	1.582336447
396	1.581991053
397	1.581704231
398	1.581404478
399	1.581026781
400	1.580584921
401	1.580164405
402	1.57984712
403	1.579512504
404	1.579028721
405	1.578657426
406	1.578251015
407	1.577995499
408	1.577741616
409	1.577509285
410	1.577186413
411	1.576949976
412	1.576693536
413	1.576469291
414	1.575849246
415	1.575636953
416	1.575348467
417	1.575016359
418	1.574645169
419	1.574265548
420	1.574003893
421	1.573768123
422	1.573407327
423	1.573171638
424	1.57273278
425	1.572314018
426	1.572090083
427	1.571821003
428	1.571590375
429	1.571264687
430	1.571004247
431	1.570715408
432	1.570502778
433	1.570283836
434	1.570096257
435	1.569844089
436	1.569545508
437	1.569248149
438	1.56907719
439	1.568906775
440	1.568643859
441	1.568299947
442	1.568012524
443	1.567478711
444	1.567222646
445	1.566964361
446	1.566768115
447	1.566584752
448	1.566246722
449	1.565994851
450	1.565790034
451	1.565495608
452	1.565199391
453	1.564942368
454	1.564758747
455	1.564482163
456	1.564229783
457	1.563981896
458	1.563731908
459	1.563519115
460	1.563111221
461	1.562860763
462	1.562519062
463	1.562257551
464	1.562022104
465	1.561764618
466	1.561403701
467	1.561196482
468	1.560965111
469	1.560760022
470	1.560516119
471	1.560111618
472	1.559820208
473	1.559599497
474	1.559061798
475	1.558887731
476	1.558652658
477	1.558390026
478	1.558113177
479	1.557950555
480	1.557772179
481	1.557543204
482	1.557309771
483	1.557077277
484	1.556813703
485	1.556503948
486	1.556303817
487	1.556074277
488	1.555825377
489	1.555550096
490	1.555286875
491	1.554769729
492	1.554531787
493	1.554356072
494	1.553866693
495	1.553441207
496	1.553244033
497	1.553010416
498	1.552803829
499	1.552655608
500	1.552434536
501	1.552157213
502	1.55195559
503	1.551693759
504	1.551316975
505	1.551051011
506	1.550809139
507	1.550493492
508	1.550234244
509	1.550013516
510	1.549515339
511	1.54931595
512	1.549107566
513	1.548872648
514	1.548735232
515	1.54841229
516	1.548288568
517	1.547957143
518	1.5477723
519	1.547498925
520	1.547219782
521	1.54688848
522	1.546429102
523	1.546227888
524	1.545980779
525	1.54577582
526	1.54545858
527	1.545039269
528	1.54486319
529	1.544613965
530	1.544435045
531	1.544220087
532	1.544041248
533	1.543906515
534	1.543679852
535	1.543398794
536	1.54312593
537	1.54270863
538	1.542420551
539	1.542169806
540	1.541862039
541	1.541421662
542	1.540914705
543	1.54072367
544	1.540477895
545	1.5402516
546	1.539980866
547	1.539818931
548	1.539486766
549	1.539278963
550	1.53910793
551	1.538822882
552	1.538623267
553	1.538457964
554	1.538293641
555	1.537978979
556	1.537662348
557	1.537519211
558	1.537329808
559	1.537106815
560	1.536759831
561	1.536518199
562	1.536237384
563	1.536038692
564	1.535866054
565	1.535599064
566	1.535375033
567	1.535260069
568	1.535044959
569	1.534754096
570	1.534354689
571	1.534190695
572	1.533983132
573	1.533774014
574	1.533556581
575	1.533309462
576	1.532986878
577	1.532744217
578	1.532514639
579	1.532237576
580	1.531979547
581	1.531825446
582	1.531489833
583	1.53129301
584	1.531032212
585	1.530724895
586	1.530511347
587	1.530239933
588	1.530056417
589	1.529861715
590	1.529654647
591	1.529399846
592	1.529184848
593	1.528991417
594	1.528811311
595	1.528613608
596	1.528438804
597	1.528176903
598	1.528025702
599	1.527868758
600	1.527651951
601	1.527459771
602	1.527338952
603	1.527023605
604	1.526893396
605	1.526705736
606	1.526588694
607	1.526388013
608	1.526276513
609	1.526127533
610	1.525807197
611	1.525586038
612	1.525313984
613	1.524893096
614	1.524719371
615	1.52455225
616	1.524304924
617	1.52403389
618	1.523779627
619	1.523537366
620	1.523307897
621	1.523028067
622	1.522696891
623	1.522512707
624	1.52233613
625	1.522212283
626	1.522083448
627	1.521885798
628	1.521662385
629	1.52139382
630	1.521146546
631	1.520968317
632	1.520779227
633	1.520541747
634	1.520247748
635	1.52009613
636	1.519876135
637	1.519674721
638	1.519392093
639	1.519129308
640	1.518870831
641	1.51876957
642	1.518626249
643	1.518415103
644	1.518190711
645	1.517997208
646	1.517863085
647	1.517700429
648	1.517515251
649	1.517224615
650	1.51702783
651	1.516671872
652	1.516523855
653	1.516352382
654	1.516231514
655	1.516026773
656	1.515843395
657	1.5157002
658	1.515448523
659	1.515170246
660	1.514915651
661	1.514660961
662	1.514505231
663	1.514336631
664	1.514157973
665	1.513938734
666	1.513808905
667	1.513673352
668	1.51349821
669	1.513152605
670	1.51303538
671	1.512776684
672	1.512613888
673	1.512479536
674	1.512277434
675	1.512069961
676	1.511929626
677	1.511677592
678	1.51142337
679	1.511205319
680	1.510926267
681	1.510634349
682	1.510455407
683	1.510323362
684	1.510168274
685	1.509935667
686	1.509739246
687	1.50947169
688	1.509272605
689	1.509075867
690	1.508835416
691	1.508603998
692	1.508354876
693	1.508051608
694	1.507805295
695	1.507551144
696	1.507335289
697	1.507143406
698	1.506910108
699	1.506654713
700	1.506498147
701	1.506349061
702	1.506198999
703	1.506033774
704	1.505781043
705	1.505606491
706	1.505447956
707	1.505294284
708	1.505088188
709	1.50489614
710	1.504629655
711	1.504458219
712	1.504261517
713	1.504178958
714	1.503846515
715	1.50364947
716	1.50339347
717	1.503202087
718	1.503023395
719	1.502797964
720	1.502468031
721	1.502281669
722	1.502121484
723	1.501951522
724	1.501757612
725	1.501635267
726	1.501408898
727	1.501195446
728	1.501031704
729	1.500742469
730	1.500528801
731	1.500372603
732	1.500185554
733	1.500040594
734	1.499859473
735	1.499666341
736	1.499491304
737	1.499410085
738	1.499176215
739	1.49896861
740	1.498777851
741	1.49849667
742	1.49825402
743	1.498052036
744	1.49787006
745	1.49766856
746	1.4974927
747	1.497355119
748	1.497207289
749	1.497045099
750	1.496737469
751	1.496559206
752	1.496380992
753	1.496101887
754	1.495952048
755	1.495764683
756	1.495616462
757	1.4954201
758	1.49503789
759	1.49484197
760	1.494576688
761	1.494461626
762	1.494250452
763	1.49407622
764	1.493878809
765	1.493685608
766	1.49345672
767	1.493260178
768	1.493071967
769	1.492939147
770	1.492634891
771	1.492513495
772	1.492376532
773	1.492260461
774	1.492019473
775	1.491859477
776	1.491676157
777	1.491522779
778	1.491281422
779	1.491129408
780	1.490928004
781	1.490706279
782	1.490508867
783	1.49032205
784	1.490099081
785	1.489957131
786	1.489873278
787	1.489657762
788	1.489483497
789	1.489285849
790	1.489027252
791	1.488841833
792	1.488664255
793	1.488442814
794	1.488305747
795	1.48808945
796	1.48779946
797	1.487599189
798	1.487489225
799	1.487326167
800	1.487058965
801	1.486873068
802	1.48665968
803	1.486469592
804	1.486287563
805	1.486126981
806	1.48592821
807	1.485663838
808	1.485550961
809	1.485359892
810	1.485126037
811	1.484939047
812	1.484809351
813	1.484531856
814	1.4843638
815	1.484094094
816	1.483916255
817	1.483837335
818	1.483708963
819	1.483472168
820	1.483197584
821	1.483066293
822	1.482906402
823	1.482814546
824	1.48259403
825	1.482457484
826	1.482298446
827	1.48210838
828	1.481855291
829	1.481675381
830	1.481333596
831	1.481160218
832	1.481030445
833	1.480882506
834	1.480734563
835	1.480567676
836	1.480409664
837	1.480223034
838	1.480033354
839	1.479859937
840	1.479718308
841	1.47960284
842	1.479404018
843	1.479162149
844	1.478937599
845	1.478740477
846	1.478594933
847	1.478354642
848	1.478100912
849	1.477926962
850	1.477746509
851	1.477613544
852	1.477369394
853	1.477176149
854	1.476965988
855	1.476809575
856	1.476620566
857	1.476521665
858	1.476331516
859	1.476201544
860	1.476055773
861	1.475798044
862	1.47561666
863	1.475500779
864	1.475244855
865	1.474984224
866	1.474844568
867	1.474677673
868	1.474426723
869	1.47423279
870	1.474059854
871	1.47385778
872	1.47366879
873	1.473520821
874	1.473366044
875	1.473173879
876	1.473051555
877	1.472867123
878	1.472606984
879	1.472447571
880	1.472181187
881	1.471969647
882	1.471788815
883	1.471605642
884	1.471436469
885	1.471292327
886	1.471080759
887	1.470938603
888	1.470728145
889	1.470576443
890	1.470410808
891	1.470220343
892	1.469978999
893	1.469812022
894	1.469671344
895	1.469480553
896	1.469287471
897	1.469160388
898	1.469009806
899	1.468793437
