iter	Passed	Remaining
0	14	12668
1	25	11291
2	37	11153
3	49	11093
4	61	11025
5	73	10961
6	85	10906
7	98	10932
8	109	10847
9	120	10768
10	132	10705
11	144	10675
12	155	10642
13	167	10612
14	179	10575
15	191	10565
16	202	10540
17	215	10557
18	227	10559
19	240	10567
20	252	10555
21	263	10510
22	275	10499
23	287	10488
24	299	10465
25	310	10444
26	322	10428
27	333	10387
28	344	10356
29	356	10343
30	369	10348
31	380	10327
32	391	10293
33	403	10278
34	415	10271
35	427	10255
36	438	10232
37	450	10218
38	461	10192
39	473	10183
40	485	10178
41	499	10209
42	511	10188
43	523	10183
44	534	10163
45	547	10166
46	560	10164
47	572	10154
48	583	10130
49	594	10114
50	606	10095
51	617	10072
52	629	10064
53	641	10048
54	652	10023
55	664	10014
56	676	10000
57	687	9987
58	699	9971
59	711	9954
60	723	9951
61	736	9948
62	747	9929
63	759	9919
64	771	9906
65	783	9898
66	795	9887
67	807	9879
68	819	9867
69	831	9855
70	842	9837
71	854	9823
72	865	9807
73	877	9794
74	888	9778
75	900	9765
76	912	9758
77	925	9749
78	936	9733
79	948	9721
80	960	9708
81	971	9691
82	982	9670
83	994	9660
84	1006	9652
85	1018	9639
86	1030	9633
87	1044	9636
88	1056	9627
89	1068	9614
90	1080	9607
91	1092	9596
92	1105	9591
93	1116	9575
94	1127	9554
95	1140	9550
96	1152	9539
97	1165	9537
98	1177	9529
99	1189	9517
100	1202	9512
101	1214	9499
102	1226	9491
103	1238	9482
104	1250	9468
105	1262	9457
106	1274	9444
107	1286	9431
108	1298	9423
109	1309	9406
110	1321	9396
111	1332	9376
112	1344	9365
113	1355	9345
114	1367	9335
115	1379	9320
116	1389	9302
117	1402	9294
118	1413	9279
119	1424	9260
120	1436	9251
121	1449	9245
122	1461	9235
123	1473	9220
124	1487	9221
125	1499	9210
126	1511	9198
127	1523	9189
128	1535	9176
129	1546	9161
130	1558	9148
131	1569	9133
132	1582	9125
133	1594	9116
134	1607	9107
135	1615	9077
136	1627	9064
137	1639	9051
138	1650	9036
139	1662	9024
140	1674	9012
141	1686	9003
142	1697	8988
143	1710	8979
144	1721	8964
145	1733	8954
146	1744	8937
147	1755	8921
148	1766	8905
149	1778	8890
150	1789	8878
151	1801	8867
152	1813	8855
153	1825	8844
154	1837	8829
155	1849	8818
156	1861	8808
157	1873	8798
158	1885	8785
159	1897	8774
160	1909	8764
161	1920	8751
162	1931	8735
163	1945	8729
164	1957	8719
165	1969	8706
166	1981	8698
167	1992	8682
168	2004	8671
169	2015	8655
170	2027	8643
171	2038	8628
172	2051	8619
173	2062	8606
174	2074	8593
175	2086	8582
176	2099	8574
177	2111	8563
178	2122	8548
179	2135	8543
180	2148	8536
181	2160	8523
182	2171	8509
183	2183	8496
184	2195	8486
185	2206	8471
186	2219	8463
187	2231	8451
188	2242	8437
189	2254	8423
190	2265	8411
191	2276	8394
192	2288	8381
193	2298	8366
194	2310	8353
195	2322	8341
196	2333	8326
197	2344	8312
198	2356	8300
199	2368	8289
200	2380	8279
201	2393	8271
202	2406	8263
203	2418	8253
204	2430	8241
205	2442	8227
206	2454	8216
207	2466	8204
208	2478	8195
209	2491	8185
210	2503	8175
211	2516	8167
212	2528	8154
213	2539	8141
214	2552	8132
215	2564	8121
216	2576	8108
217	2587	8094
218	2599	8082
219	2610	8068
220	2622	8056
221	2634	8044
222	2645	8032
223	2657	8020
224	2669	8009
225	2681	7995
226	2692	7982
227	2703	7968
228	2714	7954
229	2725	7940
230	2737	7928
231	2749	7916
232	2760	7902
233	2773	7892
234	2784	7880
235	2796	7869
236	2808	7857
237	2820	7845
238	2832	7833
239	2844	7821
240	2855	7808
241	2866	7794
242	2878	7781
243	2889	7768
244	2901	7756
245	2913	7744
246	2923	7730
247	2935	7718
248	2947	7706
249	2959	7694
250	2970	7681
251	2982	7668
252	2993	7656
253	3005	7644
254	3017	7632
255	3029	7620
256	3041	7608
257	3053	7597
258	3065	7585
259	3077	7574
260	3088	7561
261	3100	7549
262	3111	7535
263	3122	7523
264	3135	7513
265	3147	7501
266	3159	7491
267	3172	7481
268	3185	7471
269	3197	7459
270	3209	7448
271	3221	7437
272	3234	7428
273	3245	7415
274	3257	7402
275	3269	7391
276	3281	7379
277	3293	7368
278	3304	7355
279	3316	7343
280	3327	7330
281	3338	7316
282	3349	7303
283	3361	7291
284	3372	7276
285	3383	7264
286	3395	7251
287	3406	7238
288	3417	7225
289	3428	7211
290	3440	7199
291	3451	7186
292	3463	7174
293	3476	7165
294	3487	7152
295	3499	7140
296	3511	7129
297	3523	7117
298	3534	7104
299	3547	7094
300	3558	7080
301	3571	7072
302	3582	7059
303	3593	7045
304	3605	7033
305	3617	7022
306	3628	7009
307	3641	6998
308	3652	6986
309	3665	6976
310	3677	6964
311	3689	6952
312	3700	6939
313	3711	6926
314	3722	6914
315	3734	6901
316	3745	6889
317	3757	6877
318	3769	6865
319	3781	6854
320	3793	6842
321	3803	6826
322	3814	6813
323	3824	6799
324	3837	6788
325	3848	6776
326	3859	6762
327	3871	6751
328	3882	6737
329	3893	6725
330	3905	6713
331	3917	6701
332	3929	6690
333	3941	6678
334	3953	6668
335	3965	6655
336	3976	6644
337	3987	6629
338	3998	6616
339	4010	6605
340	4022	6593
341	4033	6580
342	4044	6568
343	4056	6556
344	4067	6543
345	4079	6531
346	4089	6516
347	4100	6503
348	4112	6492
349	4124	6481
350	4135	6468
351	4147	6456
352	4158	6443
353	4169	6431
354	4182	6420
355	4193	6408
356	4204	6395
357	4216	6382
358	4226	6369
359	4238	6357
360	4249	6344
361	4260	6332
362	4272	6320
363	4283	6308
364	4295	6296
365	4307	6284
366	4318	6272
367	4329	6258
368	4340	6245
369	4351	6233
370	4362	6220
371	4375	6210
372	4387	6198
373	4398	6186
374	4409	6172
375	4419	6159
376	4432	6148
377	4444	6137
378	4455	6125
379	4469	6115
380	4480	6103
381	4490	6089
382	4502	6078
383	4513	6065
384	4525	6053
385	4537	6042
386	4549	6030
387	4561	6019
388	4573	6008
389	4584	5994
390	4596	5983
391	4608	5972
392	4619	5959
393	4631	5947
394	4642	5935
395	4654	5923
396	4665	5911
397	4678	5900
398	4689	5887
399	4700	5875
400	4712	5864
401	4723	5851
402	4734	5839
403	4746	5827
404	4759	5817
405	4771	5805
406	4783	5794
407	4795	5782
408	4805	5768
409	4816	5756
410	4828	5745
411	4840	5732
412	4851	5720
413	4862	5708
414	4875	5697
415	4886	5684
416	4897	5673
417	4910	5662
418	4921	5650
419	4934	5639
420	4946	5628
421	4957	5615
422	4969	5603
423	4979	5590
424	4991	5578
425	5003	5567
426	5013	5554
427	5025	5541
428	5035	5528
429	5047	5517
430	5058	5504
431	5069	5491
432	5079	5478
433	5090	5466
434	5101	5453
435	5112	5441
436	5124	5429
437	5138	5419
438	5149	5408
439	5161	5395
440	5172	5383
441	5184	5372
442	5196	5361
443	5209	5350
444	5219	5337
445	5230	5324
446	5241	5311
447	5252	5299
448	5264	5288
449	5276	5276
450	5288	5264
451	5299	5252
452	5312	5241
453	5324	5230
454	5335	5218
455	5347	5206
456	5360	5196
457	5371	5184
458	5382	5171
459	5393	5158
460	5404	5146
461	5416	5135
462	5428	5123
463	5440	5112
464	5452	5101
465	5466	5091
466	5478	5079
467	5489	5067
468	5500	5055
469	5511	5042
470	5522	5030
471	5534	5018
472	5545	5006
473	5557	4994
474	5569	4982
475	5579	4970
476	5590	4957
477	5601	4945
478	5612	4933
479	5624	4921
480	5635	4909
481	5645	4896
482	5658	4885
483	5669	4873
484	5682	4862
485	5694	4850
486	5704	4838
487	5715	4825
488	5726	4812
489	5736	4800
490	5748	4788
491	5760	4776
492	5771	4764
493	5784	4753
494	5795	4741
495	5806	4729
496	5817	4717
497	5829	4705
498	5840	4693
499	5851	4680
500	5862	4668
501	5875	4658
502	5887	4647
503	5899	4635
504	5912	4624
505	5924	4613
506	5935	4601
507	5946	4588
508	5959	4577
509	5971	4566
510	5983	4554
511	5994	4542
512	6005	4530
513	6017	4518
514	6028	4506
515	6040	4495
516	6050	4482
517	6061	4470
518	6074	4459
519	6086	4447
520	6096	4435
521	6109	4424
522	6122	4413
523	6133	4401
524	6146	4390
525	6159	4379
526	6172	4368
527	6184	4357
528	6194	4344
529	6206	4332
530	6217	4320
531	6228	4308
532	6240	4296
533	6251	4284
534	6262	4272
535	6274	4261
536	6286	4249
537	6299	4238
538	6311	4227
539	6322	4215
540	6336	4204
541	6350	4194
542	6362	4183
543	6373	4171
544	6385	4159
545	6396	4147
546	6408	4135
547	6420	4123
548	6432	4112
549	6442	4099
550	6456	4089
551	6474	4081
552	6486	4069
553	6497	4058
554	6509	4046
555	6521	4034
556	6531	4022
557	6542	4009
558	6555	3998
559	6567	3987
560	6579	3976
561	6591	3964
562	6602	3952
563	6614	3940
564	6626	3928
565	6637	3917
566	6649	3905
567	6659	3892
568	6671	3880
569	6687	3871
570	6702	3861
571	6716	3851
572	6730	3840
573	6746	3831
574	6762	3822
575	6778	3812
576	6788	3800
577	6799	3788
578	6810	3775
579	6821	3763
580	6833	3752
581	6845	3740
582	6856	3728
