horizon,model,feature,mean_abs_shap
15m,lightgbm,p85_speed,2.628072288005203
15m,lightgbm,p50_speed,1.24642470006371
15m,lightgbm,speed_roll_mean_3,0.6304879810354111
15m,lightgbm,free_flow_speed,0.6097167228288
15m,lightgbm,current_speed,0.4187899286163016
15m,lightgbm,hour_of_day,0.2971744218303111
15m,lightgbm,upstream_avg_jam_factor,0.272361160322581
15m,lightgbm,baseline_congestion_ratio,0.2269179661483298
15m,lightgbm,propagation_risk_score,0.21567261486767483
15m,lightgbm,downstream_avg_jam_factor,0.1652684346789287
15m,lightgbm,congestion_ratio,0.16417454316151847
15m,lightgbm,speed_roll_mean_6,0.12797796287545468
15m,lightgbm,p15_speed,0.11808086106306838
15m,lightgbm,urban_density_score,0.11354679729798424
15m,lightgbm,speed_lag_4,0.10949472240554878
15m,lightgbm,speed_lag_1,0.0837990770629004
15m,lightgbm,rain_1h,0.06993764434114982
15m,lightgbm,jam_factor,0.06676814943982474
15m,lightgbm,jam_lag_2,0.06152083742212608
15m,lightgbm,temperature,0.04959634840771899
15m,lightgbm,jam_lag_4,0.048353672923658206
15m,lightgbm,day_of_week,0.04050054149608101
15m,lightgbm,jam_lag_3,0.03771958849223792
15m,lightgbm,humidity,0.03627921806893624
15m,lightgbm,wind_speed,0.03616124247907201
15m,lightgbm,school_density,0.03501338340442716
15m,lightgbm,speed_roll_std_6,0.03484989947727804
15m,lightgbm,jam_lag_1,0.029497046915288212
15m,lightgbm,speed_lag_2,0.02874149480277508
15m,lightgbm,jam_roll_mean_3,0.028558969947678994
15m,lightgbm,visibility,0.028133270495178133
15m,lightgbm,event_distance_km,0.027983113238637683
15m,lightgbm,speed_vs_p50,0.02509715648676783
15m,lightgbm,speed_lag_3,0.022653344190147952
15m,lightgbm,speed_confidence,0.021338698184025454
15m,lightgbm,hospital_density,0.02044531425689151
15m,lightgbm,event_severity_score,0.017650402195540347
15m,lightgbm,has_accident,0.017540647580895557
15m,lightgbm,poi_density,0.014711226790829039
15m,lightgbm,bus_stop_density,0.011006305912714691
15m,lightgbm,is_peak_hour,0.00949264708810477
15m,lightgbm,corridor_id,0.00871596266941639
15m,lightgbm,road_class,0.008086419523875718
15m,lightgbm,city,0.006516713661539304
