horizon,model,model_type,split,MAE,RMSE,R2,MAPE,n
15m,train_mean,baseline,val,5.795187001787976,7.516274797112672,-0.002309248854801327,20.49778919723464,8660
15m,current_speed,baseline,val,1.5803815242494226,2.064886968650473,0.9243534709879776,5.179097268932333,8660
15m,historical_p50,baseline,val,1.4276192263279444,1.8834933286227782,0.9370603083265949,4.717182067285202,8660
15m,speed_lag_1,baseline,val,1.6667972286374133,2.17792421274098,0.9158446046043855,5.479819677297452,8660
15m,speed_roll_mean_3,baseline,val,1.5301813394919168,2.010310318178873,0.9282994244165647,5.0716326749804415,8660
15m,speed_roll_mean_6,baseline,val,1.6603134872979215,2.1779107104468225,0.9158456480634505,5.546122466575365,8660
15m,train_mean,baseline,test,5.805140329616993,7.529460385123099,-0.0022536322397199715,20.640329220988434,8640
15m,current_speed,baseline,test,1.614519097222222,2.141935521305568,0.918892181668706,5.305523216212047,8640
15m,historical_p50,baseline,test,1.453785011574074,1.9469252346753094,0.9329886323186705,4.848969527932709,8640
15m,speed_lag_1,baseline,test,1.7051604166666667,2.270603984238718,0.908855026154814,5.645560325607072,8640
15m,speed_roll_mean_3,baseline,test,1.5665915625,2.0864693792926112,0.9230384218898452,5.2168104971031335,8640
15m,speed_roll_mean_6,baseline,test,1.673642361111111,2.216896955099126,0.913115771866598,5.61022247710976,8640
60m,train_mean,baseline,val,5.797904994269309,7.518457748732587,-0.0025171342213332615,20.52578843375307,8660
60m,current_speed,baseline,val,1.9121685912240185,2.5032586731152175,0.8888663096042213,6.344967730606128,8660
60m,historical_p50,baseline,val,1.7526029445727482,2.292375495730093,0.9068021718365621,5.8684091029060665,8660
60m,speed_lag_1,baseline,val,2.040198614318707,2.6802495646184545,0.8725955066032144,6.790510726961275,8660
60m,speed_roll_mean_3,baseline,val,1.9755188914549655,2.592455437201436,0.8808053187102576,6.62789536317895,8660
60m,speed_roll_mean_6,baseline,val,2.091089769053118,2.7419236112037613,0.8666647499371516,7.035897300926621,8660
60m,train_mean,baseline,test,5.80522348171124,7.534165376732012,-0.0018841253665231594,20.60673962951717,8640
60m,current_speed,baseline,test,1.958361226851852,2.5901951639119356,0.8815835127024187,6.530498548849943,8640
60m,historical_p50,baseline,test,1.7652348958333333,2.3285917752988787,0.9042951568059907,5.932854330779594,8640
60m,speed_lag_1,baseline,test,2.0834446759259264,2.757530277107881,0.8657891036492018,6.95617183705971,8640
60m,speed_roll_mean_3,baseline,test,1.9964881134259258,2.6311586212968554,0.8778084260632718,6.705306923458148,8640
60m,speed_roll_mean_6,baseline,test,2.0935808333333332,2.7379365000871108,0.8676896127157804,7.057826443772362,8640
240m,train_mean,baseline,val,5.808199845930348,7.527105003285268,-0.0031110559188589626,20.610103151753144,8660
240m,current_speed,baseline,val,2.9983989607390304,3.8591796348650376,0.7363164380185208,10.060979827085008,8660
240m,historical_p50,baseline,val,2.8628581408775977,3.6896107643030858,0.7589793943747838,9.714071914687485,8660
240m,speed_lag_1,baseline,val,3.022807736720554,3.907215950720643,0.7297112943608481,10.138681657888524,8660
240m,speed_roll_mean_3,baseline,val,2.9111640877598153,3.7464287009451533,0.7514990737656628,9.781341235848192,8660
240m,speed_roll_mean_6,baseline,val,2.904827159353349,3.70535478528085,0.7569180769097044,9.746885022946513,8660
240m,train_mean,baseline,test,5.8164011495669055,7.561014372309425,-0.000803884058970139,20.52490505056018,8640
240m,current_speed,baseline,test,3.01586412037037,3.8615457447019743,0.7389574982862674,10.137256671874296,8640
240m,historical_p50,baseline,test,2.872951331018519,3.676489593483107,0.7633777732462083,9.755725885063264,8640
240m,speed_lag_1,baseline,test,3.051606828703704,3.886759088425514,0.7355374991390675,10.245607974839091,8640
240m,speed_roll_mean_3,baseline,test,2.9365572800925923,3.707444048825301,0.7593764852897165,9.88783183509518,8640
240m,speed_roll_mean_6,baseline,test,2.9207102083333334,3.658299798718738,0.7657134046296267,9.823794871799244,8640
