horizon,model,feature,importance
15m,lightgbm,wind_speed,3633.0
15m,lightgbm,temperature,3313.0
15m,lightgbm,humidity,3292.0
15m,lightgbm,event_distance_km,3113.0
15m,lightgbm,speed_roll_std_6,3051.0
15m,lightgbm,upstream_avg_jam_factor,3008.0
15m,lightgbm,hour_of_day,2933.0
15m,lightgbm,baseline_congestion_ratio,2851.0
15m,lightgbm,downstream_avg_jam_factor,2787.0
15m,lightgbm,speed_vs_p50,2748.0
15m,lightgbm,jam_lag_4,2605.0
15m,lightgbm,jam_lag_2,2599.0
15m,lightgbm,congestion_ratio,2561.0
15m,lightgbm,speed_lag_1,2364.0
15m,lightgbm,jam_lag_1,2327.0
15m,lightgbm,jam_lag_3,2311.0
15m,lightgbm,propagation_risk_score,2154.0
15m,lightgbm,jam_factor,2125.0
15m,lightgbm,speed_lag_4,2078.0
15m,lightgbm,speed_lag_2,1994.0
15m,lightgbm,speed_lag_3,1936.0
15m,lightgbm,p85_speed,1923.0
15m,lightgbm,p15_speed,1799.0
15m,lightgbm,jam_roll_mean_3,1769.0
15m,lightgbm,current_speed,1710.0
15m,lightgbm,speed_roll_mean_6,1600.0
15m,lightgbm,speed_roll_mean_3,1596.0
15m,lightgbm,p50_speed,1364.0
15m,lightgbm,day_of_week,1230.0
15m,lightgbm,rain_1h,1126.0
15m,lightgbm,urban_density_score,824.0
15m,lightgbm,visibility,716.0
15m,lightgbm,speed_confidence,562.0
15m,lightgbm,free_flow_speed,451.0
15m,lightgbm,poi_density,278.0
15m,lightgbm,corridor_id,250.0
15m,lightgbm,event_severity_score,215.0
15m,lightgbm,school_density,193.0
15m,lightgbm,hospital_density,175.0
15m,lightgbm,bus_stop_density,172.0
15m,lightgbm,has_accident,124.0
15m,lightgbm,is_peak_hour,99.0
15m,lightgbm,pct_above_p85,85.0
15m,lightgbm,city,66.0
15m,lightgbm,corridor_name,64.0
15m,lightgbm,road_class,64.0
15m,lightgbm,pct_below_p15,54.0
15m,lightgbm,is_weekend,39.0
15m,lightgbm,neighbor_congestion_count,37.0
15m,lightgbm,weather_main,13.0
15m,lightgbm,has_event,9.0
15m,lightgbm,has_flood,9.0
15m,lightgbm,rain_flag,1.0
15m,lightgbm,betweenness_centrality,0.0
15m,lightgbm,degree_centrality,0.0
15m,lightgbm,has_roadwork,0.0
15m,lightgbm,is_holiday_vn,0.0
15m,lightgbm,is_synthetic,0.0
15m,lightgbm,month,0.0
15m,lightgbm,data_source,0.0
15m,lightgbm,district,0.0
15m,lightgbm,synthetic_generation_method,0.0
60m,lightgbm,hour_of_day,4614.0
60m,lightgbm,wind_speed,3741.0
60m,lightgbm,temperature,3667.0
60m,lightgbm,humidity,3389.0
60m,lightgbm,event_distance_km,3226.0
60m,lightgbm,speed_roll_std_6,3049.0
60m,lightgbm,upstream_avg_jam_factor,2895.0
60m,lightgbm,baseline_congestion_ratio,2735.0
60m,lightgbm,speed_vs_p50,2727.0
60m,lightgbm,jam_lag_4,2620.0
60m,lightgbm,downstream_avg_jam_factor,2484.0
60m,lightgbm,speed_lag_1,2225.0
60m,lightgbm,congestion_ratio,2183.0
60m,lightgbm,jam_lag_1,2170.0
60m,lightgbm,jam_lag_3,2068.0
60m,lightgbm,jam_lag_2,2045.0
60m,lightgbm,speed_lag_2,1999.0
60m,lightgbm,speed_lag_4,1992.0
60m,lightgbm,jam_factor,1914.0
60m,lightgbm,p85_speed,1910.0
60m,lightgbm,propagation_risk_score,1856.0
60m,lightgbm,speed_lag_3,1819.0
60m,lightgbm,jam_roll_mean_3,1799.0
60m,lightgbm,p15_speed,1773.0
60m,lightgbm,day_of_week,1695.0
60m,lightgbm,current_speed,1611.0
60m,lightgbm,speed_roll_mean_6,1560.0
60m,lightgbm,speed_roll_mean_3,1439.0
60m,lightgbm,p50_speed,1368.0
60m,lightgbm,rain_1h,1013.0
60m,lightgbm,visibility,873.0
60m,lightgbm,urban_density_score,744.0
60m,lightgbm,free_flow_speed,543.0
60m,lightgbm,speed_confidence,501.0
60m,lightgbm,poi_density,407.0
60m,lightgbm,corridor_id,293.0
60m,lightgbm,is_peak_hour,248.0
60m,lightgbm,bus_stop_density,234.0
60m,lightgbm,school_density,191.0
60m,lightgbm,hospital_density,133.0
60m,lightgbm,event_severity_score,128.0
60m,lightgbm,pct_above_p85,104.0
60m,lightgbm,corridor_name,99.0
60m,lightgbm,city,85.0
60m,lightgbm,is_weekend,82.0
60m,lightgbm,pct_below_p15,66.0
60m,lightgbm,road_class,43.0
60m,lightgbm,has_roadwork,18.0
60m,lightgbm,weather_main,9.0
60m,lightgbm,has_accident,8.0
60m,lightgbm,has_event,2.0
60m,lightgbm,has_flood,1.0
60m,lightgbm,neighbor_congestion_count,1.0
60m,lightgbm,rain_flag,1.0
60m,lightgbm,betweenness_centrality,0.0
60m,lightgbm,degree_centrality,0.0
60m,lightgbm,is_holiday_vn,0.0
60m,lightgbm,is_synthetic,0.0
60m,lightgbm,month,0.0
60m,lightgbm,data_source,0.0
60m,lightgbm,district,0.0
60m,lightgbm,synthetic_generation_method,0.0
240m,lightgbm,hour_of_day,4567.0
240m,lightgbm,temperature,4091.0
240m,lightgbm,wind_speed,4053.0
240m,lightgbm,humidity,3664.0
240m,lightgbm,speed_roll_std_6,3386.0
240m,lightgbm,event_distance_km,2996.0
240m,lightgbm,upstream_avg_jam_factor,2823.0
240m,lightgbm,speed_vs_p50,2730.0
240m,lightgbm,downstream_avg_jam_factor,2609.0
240m,lightgbm,jam_lag_4,2593.0
240m,lightgbm,baseline_congestion_ratio,2417.0
240m,lightgbm,day_of_week,2350.0
240m,lightgbm,jam_lag_1,2303.0
240m,lightgbm,jam_lag_3,2111.0
240m,lightgbm,jam_lag_2,2067.0
240m,lightgbm,speed_lag_1,1931.0
240m,lightgbm,jam_factor,1900.0
240m,lightgbm,speed_lag_2,1851.0
240m,lightgbm,speed_lag_4,1848.0
240m,lightgbm,propagation_risk_score,1847.0
240m,lightgbm,speed_lag_3,1832.0
240m,lightgbm,congestion_ratio,1815.0
240m,lightgbm,jam_roll_mean_3,1758.0
240m,lightgbm,speed_roll_mean_6,1725.0
240m,lightgbm,p15_speed,1611.0
240m,lightgbm,current_speed,1461.0
240m,lightgbm,p85_speed,1396.0
240m,lightgbm,speed_roll_mean_3,1192.0
240m,lightgbm,p50_speed,1135.0
