horizon,model,slice_column,slice_value,MAE,RMSE,R2,MAPE,n
15m,lightgbm,city,hanoi,1.072597208027937,1.4427952429702562,0.9301778320598924,3.9913330892356824,4320
15m,lightgbm,city,hcmc,1.375578442383349,1.8174934259514692,0.94763912094212,4.135772502640365,4320
15m,lightgbm,road_class,cbd_local_arterial,0.8453537105453479,1.1439720374590299,0.7319488132862164,3.8912905235195714,864
15m,lightgbm,road_class,gateway_arterial,1.8831436756122986,2.425588726648855,0.5510750994483808,4.422704019327612,432
15m,lightgbm,road_class,major_arterial,1.2606794566765878,1.6682457301740168,0.9288145673761051,3.9829228893153443,5616
15m,lightgbm,road_class,urban_arterial,1.294226367105496,1.6810838875338625,0.8389801459688203,4.507948721833751,1296
15m,lightgbm,road_class,urban_expressway,0.6363933692977349,0.8311926535851736,0.6926074908844198,3.7639271257929883,432
15m,lightgbm,is_peak_hour,0,1.2140107263854003,1.64178893366746,0.9519615144053728,3.9150896881489095,6460
15m,lightgbm,is_peak_hour,1,1.2539493198748026,1.6381630996943846,0.9445091587170269,4.503493931863564,2180
15m,lightgbm,rain_flag,0,1.1776816189425494,1.5648859385021465,0.9560824052809174,3.8356614983533293,6380
15m,lightgbm,rain_flag,1,1.3550929561607474,1.838521550605644,0.9411653452217958,4.7068919457567615,2260
15m,lightgbm,weather_main,Clear,1.1801281052827277,1.5680230178322916,0.9556725730916112,3.849202526374693,6260
15m,lightgbm,weather_main,Clouds,1.0500565815299199,1.3914612482923403,0.9689765023244774,3.129271203238858,120
15m,lightgbm,weather_main,Rain,1.3229969813681492,1.7774906254501912,0.9444995265019382,4.540860466518993,2080
15m,lightgbm,weather_main,Thunderstorm,1.7259797759863234,2.435229045811863,0.9053996560075852,6.625477928059877,180
15m,lightgbm,district,unknown,1.224087825205643,1.640874837779288,0.9524006695159954,4.0635527959380235,8640
15m,lightgbm,segment_id,HCMC_001,1.1393127520153956,1.436934300507587,0.589334411442543,3.7728018578440077,432
15m,lightgbm,segment_id,HCMC_002,1.727888939606901,2.221614512402608,0.6193197378802133,4.099295424758687,432
15m,lightgbm,segment_id,HCMC_003,1.0994907350489942,1.4071624795092785,0.5881098796505717,4.362305470441641,432
